 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55,Mean56,XM56,YM56,Mean57,XM57,YM57,Mean58,XM58,YM58,Mean59,XM59,YM59,Mean60,XM60,YM60,Mean61,XM61,YM61,Mean62,XM62,YM62,Mean63,XM63,YM63
1,478.286,125.565,109.857,173.286,165.895,70.336,300.625,95.755,129.194,177.400,92.386,123.889,212.857,127.752,76.326,95.286,145.783,106.008,80.857,115.776,158.057,510.333,131.455,152.683,744.875,133.707,158.073,54.417,133.550,53.027,1458.323,91.537,108.727,225.500,100.679,105.811,225.500,114.993,125.533,521.538,97.595,163.861,189.278,97.296,139.860,518.167,114.342,117.527,234.875,132.039,162.966,488.615,122.704,118.128,237.312,131.108,80.919,419.143,146.804,97.735,662.235,154.549,129.268,29.833,38.772,79.170,614.250,133.573,131.026,611.231,128.473,149.035,89.857,115.748,106.270,236.688,101.696,97.931,7.200,121.981,43.043,33.071,112.404,46.369,152.864,150.949,104.883,87.412,52.602,151.657,889.500,139.940,96.007,48.312,134.500,138.559,302.000,106.890,130.201,158.000,123.823,165.389,238.667,115.643,131.117,650.182,119.179,143.112,30.176,60.333,139.473,120.615,110.475,100.491,10.800,91.022,91.820,129.800,134.474,146.250,357.000,137.338,108.128,287.471,141.076,139.035,193.385,154.150,118.380,30.062,119.682,79.733,69.812,108.988,87.425,245.000,134.056,123.711,375.312,107.339,118.456,375.462,119.989,103.068,388.188,119.823,109.883,46.250,159.795,70.952,490.231,140.185,92.909,271.000,135.924,86.819,19.462,82.517,133.243,96.312,136.860,152.672,57.619,134.463,64.548,329.000,119.596,137.836,72.714,100.688,137.123,57.419,153.177,135.607,570.714,124.768,114.008,52.692,159.328,80.420,420.833,97.190,89.535,223.905,132.747,117.666,366.000,128.149,141.975
2,443.500,125.547,109.849,159.786,165.956,70.131,404.125,95.760,129.153,162.200,92.196,123.919,316.952,127.960,76.330,148.571,145.823,106.193,54.190,115.433,158.084,588.667,131.406,152.540,637.750,133.845,158.118,111.333,133.567,52.912,1625.806,91.574,108.714,288.300,100.776,105.701,246.667,115.047,125.651,472.308,97.557,163.926,215.167,97.290,139.699,532.444,114.405,117.576,261.125,132.052,162.943,478.462,122.637,118.100,192.500,131.302,81.062,475.714,146.766,97.706,694.353,154.566,129.503,35.167,38.711,79.979,691.417,133.632,130.963,630.154,128.531,149.135,74.643,115.629,105.793,253.062,101.702,98.104,13.500,121.872,42.558,65.571,112.345,46.470,148.273,150.700,105.055,82.824,52.829,151.634,706.300,139.943,96.208,76.250,134.544,138.541,344.625,106.999,130.157,168.625,123.866,165.497,234.500,115.573,131.087,466.545,119.194,143.025,38.059,60.541,139.107,84.615,110.614,100.629,10.900,91.258,91.878,118.700,134.467,146.385,358.714,137.327,108.229,201.471,141.025,139.049,130.615,154.009,118.182,25.688,118.782,79.507,77.500,109.154,87.322,283.846,133.929,123.496,335.750,107.269,118.426,393.154,119.957,103.014,447.438,119.868,109.698,67.250,159.774,70.735,337.000,140.115,92.793,270.750,135.864,86.807,0.000,NaN,NaN,126.625,137.045,152.526,60.857,134.449,64.498,272.769,119.605,137.860,303.429,100.578,136.954,41.226,153.129,135.892,476.143,124.775,114.181,13.154,159.198,80.001,338.500,97.351,89.626,351.905,132.807,117.726,531.385,128.161,141.953
3,545.143,125.567,109.775,283.214,165.825,70.294,430.625,95.756,129.119,237.000,92.355,124.111,346.286,127.838,76.436,136.429,145.991,106.047,71.333,115.660,158.067,548.083,131.469,152.659,865.000,133.740,158.158,100.083,133.536,53.299,1802.903,91.577,108.705,249.200,100.788,105.682,178.667,115.088,125.570,439.385,97.492,163.903,218.389,97.321,139.756,468.556,114.296,117.584,271.000,132.128,162.918,436.231,122.634,118.085,175.062,131.336,80.994,411.048,146.716,97.798,648.118,154.491,129.461,37.333,38.859,79.826,753.500,133.600,131.032,557.231,128.528,149.086,69.571,115.858,106.012,267.062,101.671,98.051,18.800,121.802,42.562,49.786,112.378,46.259,165.364,150.883,105.121,84.824,52.966,151.746,660.900,139.975,96.051,165.312,134.522,138.207,262.125,106.733,130.150,132.250,123.905,165.500,172.500,115.641,131.121,674.545,119.183,143.067,32.176,60.130,139.005,64.923,110.145,100.781,15.200,90.914,92.188,97.700,134.504,146.563,383.286,137.277,108.236,204.000,141.120,138.928,60.846,154.145,118.463,26.562,119.847,79.805,65.500,109.167,87.683,209.077,133.907,123.458,360.500,107.224,118.381,323.538,120.029,103.158,430.500,119.830,109.793,39.875,159.771,70.636,376.769,140.191,92.861,266.375,136.003,86.820,8.077,83.533,133.753,82.938,136.952,152.712,62.429,134.450,64.489,394.538,119.730,137.955,313.143,100.593,137.025,64.774,153.145,135.649,364.143,124.744,113.986,16.308,159.562,80.082,340.083,97.105,89.542,328.286,132.944,117.567,469.000,128.131,141.992
4,414.571,125.572,109.874,191.643,165.889,70.476,355.750,95.833,129.141,100.200,92.494,123.864,322.381,127.863,76.447,88.429,145.844,106.018,39.619,115.442,157.993,486.083,131.397,152.736,717.000,133.740,158.010,128.833,133.623,53.145,1522.387,91.572,108.708,228.700,100.809,105.735,226.333,115.043,125.599,461.692,97.605,163.934,274.722,97.414,139.747,495.056,114.420,117.608,220.625,132.005,162.981,403.077,122.601,118.165,226.375,131.240,80.923,517.048,146.765,97.762,644.118,154.507,129.432,47.333,38.617,79.498,662.667,133.629,131.045,647.385,128.504,149.144,115.571,115.721,106.284,210.750,101.691,97.936,10.300,121.365,42.625,57.857,112.500,46.279,235.955,150.778,105.071,97.412,52.758,151.641,592.300,139.993,96.006,122.375,134.472,138.140,356.875,106.863,130.121,188.875,123.892,165.482,281.833,115.647,131.135,687.636,119.182,143.023,38.647,60.567,139.051,109.923,110.434,100.755,15.600,91.214,91.794,164.600,134.529,146.332,411.929,137.312,108.097,241.059,141.061,139.267,88.846,153.931,118.189,14.312,119.617,79.412,133.375,109.448,87.273,229.769,134.009,123.529,495.125,107.322,118.475,388.077,119.943,103.082,395.438,119.843,109.845,39.188,160.016,70.608,492.385,140.186,92.847,320.125,135.961,86.788,5.385,82.925,133.765,123.875,136.978,152.565,63.333,134.398,64.503,257.077,119.677,137.685,244.714,100.598,137.023,146.839,153.258,135.802,539.000,124.792,114.049,21.538,158.955,80.482,315.750,97.274,89.551,354.762,132.956,117.646,466.846,128.075,141.972
5,575.786,125.559,109.970,152.714,165.830,70.014,360.000,95.785,129.059,258.000,92.465,123.995,370.095,127.901,76.526,113.571,145.878,105.834,72.952,115.282,158.266,510.250,131.428,152.715,669.250,133.731,158.144,144.917,133.652,53.015,1346.516,91.551,108.727,232.700,100.719,105.658,262.333,114.982,125.547,396.000,97.473,163.892,285.444,97.322,139.682,426.000,114.370,117.581,241.125,132.142,162.810,368.923,122.595,118.195,201.312,131.195,80.960,468.667,146.823,97.722,595.294,154.529,129.517,69.167,38.683,79.277,621.000,133.658,131.025,577.154,128.461,149.145,49.143,115.604,105.979,279.688,101.627,97.981,20.600,121.952,42.989,58.929,112.476,46.168,212.545,150.816,104.984,107.412,53.081,151.911,686.700,139.958,96.117,92.188,134.251,138.375,282.000,106.786,130.175,151.375,123.847,165.410,222.167,115.582,131.041,541.455,119.200,143.164,9.647,61.036,139.031,122.231,110.312,100.669,26.000,91.347,92.096,175.600,134.451,146.357,426.571,137.316,108.065,228.882,141.128,139.177,99.538,154.051,118.055,11.188,119.179,80.282,86.375,108.723,87.700,205.462,133.837,123.485,505.500,107.232,118.408,380.769,119.958,103.027,385.438,119.817,109.711,60.562,159.821,70.827,505.077,140.132,92.833,235.125,136.034,86.862,1.846,83.145,133.713,129.562,137.117,152.547,64.524,134.396,64.237,344.846,119.565,137.813,219.714,100.552,137.351,96.903,153.296,135.960,445.571,124.719,114.001,29.462,159.242,80.481,292.833,97.078,89.554,335.619,132.820,117.760,471.615,128.113,142.020
6,711.571,125.561,109.927,193.429,165.834,70.178,198.750,95.789,129.144,284.500,92.255,124.031,349.714,127.880,76.464,103.143,145.940,106.092,49.333,115.149,158.314,608.333,131.338,152.698,676.000,133.827,158.128,125.750,133.715,53.026,1228.065,91.535,108.730,323.400,100.711,105.731,180.667,114.908,125.587,372.538,97.544,163.879,296.833,97.315,139.817,437.278,114.270,117.484,136.625,132.013,162.914,351.231,122.548,118.092,195.062,131.147,81.058,412.095,146.799,97.756,490.353,154.569,129.518,29.667,38.708,79.494,626.167,133.617,131.059,559.154,128.450,149.186,78.929,115.708,106.152,244.250,101.577,97.934,3.200,121.394,42.935,47.357,112.249,46.177,174.818,150.905,104.900,171.529,52.670,151.799,535.200,140.002,96.140,91.688,134.415,138.166,175.250,106.823,130.047,182.875,123.815,165.518,127.500,115.612,130.833,737.818,119.201,143.072,29.588,60.463,139.404,143.538,110.370,100.642,11.200,91.198,91.782,131.800,134.504,146.239,399.571,137.375,108.103,270.882,141.147,139.190,146.538,153.868,118.267,31.750,119.402,79.647,67.812,108.994,87.514,255.462,133.818,123.583,372.750,107.208,118.474,443.615,119.973,103.009,442.438,119.850,109.843,32.500,159.794,71.035,339.000,140.174,92.957,313.375,136.008,86.732,18.077,82.692,133.988,102.375,136.979,152.772,101.571,134.416,64.482,334.462,119.633,137.846,230.429,100.533,137.224,83.742,153.275,135.829,786.857,124.751,113.982,36.385,159.214,80.385,365.583,97.247,89.617,285.143,132.846,117.528,520.538,128.112,142.038
7,1971.286,125.535,109.921,196.786,165.812,70.387,338.125,95.746,129.051,149.900,92.459,123.918,394.190,127.874,76.460,146.714,145.776,106.043,90.095,115.582,158.303,598.583,131.410,152.623,733.375,133.779,158.083,133.833,133.397,53.236,995.871,91.562,108.670,379.100,100.735,105.823,118.500,115.034,125.470,436.385,97.524,163.842,236.444,97.389,139.820,556.333,114.390,117.622,147.625,132.048,162.843,412.000,122.638,118.102,225.062,131.308,81.070,469.619,146.855,97.832,837.059,154.537,129.437,13.833,38.636,78.861,764.583,133.612,131.055,672.000,128.548,149.162,111.357,115.675,106.231,211.500,101.566,97.950,2.000,121.923,43.059,67.214,112.286,46.173,175.545,150.961,104.847,127.765,53.231,151.836,579.100,139.934,96.063,48.812,134.372,138.473,179.000,106.922,130.102,163.625,123.839,165.485,111.833,115.653,131.210,835.273,119.170,143.065,55.588,60.565,139.250,90.769,110.472,100.639,18.800,91.158,92.627,140.100,134.365,146.312,455.071,137.291,108.140,155.353,141.043,139.295,153.923,154.175,118.164,15.188,119.377,79.963,93.875,109.159,87.496,245.000,133.904,123.589,376.812,107.229,118.437,381.769,119.983,103.173,481.562,119.927,109.882,49.500,159.563,70.728,457.308,140.141,92.815,282.000,135.934,86.760,2.538,82.530,133.709,83.562,137.052,152.522,54.762,134.250,64.454,413.615,119.652,137.776,319.143,100.689,137.136,53.871,153.431,135.704,1424.429,124.718,113.880,22.385,159.203,80.703,288.750,97.220,89.684,274.095,132.820,117.626,441.462,128.088,141.928
8,2143.428,125.545,109.890,197.214,165.856,70.449,304.000,95.694,129.100,193.700,92.394,124.079,411.048,127.840,76.446,243.000,145.962,106.236,80.667,115.728,158.382,573.583,131.434,152.665,653.000,133.705,158.106,128.417,133.543,53.371,1013.161,91.564,108.717,200.300,100.822,105.718,144.000,115.139,125.601,433.846,97.610,163.926,245.556,97.261,139.761,556.000,114.343,117.571,162.250,132.011,162.938,444.231,122.549,118.097,184.438,131.070,81.002,372.857,146.822,97.859,615.294,154.564,129.450,2.500,38.595,79.453,691.250,133.630,131.058,657.538,128.522,149.058,71.071,115.730,106.436,307.062,101.713,98.078,10.900,122.022,42.810,47.214,112.002,46.166,152.727,150.731,104.865,36.118,53.004,151.662,297.000,139.947,95.963,105.688,134.364,138.357,238.875,106.867,130.146,141.250,123.834,165.552,141.833,115.656,131.058,599.636,119.158,143.026,90.471,60.389,139.144,68.615,110.506,100.815,11.500,91.044,92.034,87.000,134.462,146.254,386.357,137.349,108.279,140.647,141.000,138.985,113.846,154.164,118.287,16.875,118.975,79.947,79.062,108.978,87.464,230.692,133.889,123.582,508.125,107.229,118.542,672.462,120.072,103.059,642.250,119.849,109.733,57.438,159.659,70.756,345.615,140.192,92.934,364.125,136.001,86.784,8.385,82.393,133.987,125.875,137.071,152.631,89.333,134.565,64.252,377.231,119.721,137.823,306.429,100.559,137.231,75.871,153.341,135.703,1646.571,124.717,113.892,27.154,159.100,80.439,258.333,97.148,89.600,372.762,132.827,117.631,459.846,128.170,142.006
9,1283.857,125.530,109.957,190.071,165.989,69.916,267.125,95.753,129.022,167.300,92.344,124.223,313.810,127.858,76.305,183.429,145.855,105.890,59.524,115.238,158.422,618.500,131.474,152.654,658.375,133.758,158.119,93.083,133.525,52.962,1191.290,91.627,108.697,258.600,100.768,105.641,251.500,115.129,125.466,444.538,97.542,163.836,301.556,97.293,139.747,542.778,114.459,117.476,151.250,132.025,163.068,396.000,122.594,118.158,252.750,131.246,80.931,477.048,146.755,97.816,538.706,154.573,129.431,19.500,38.627,78.895,738.667,133.583,131.052,616.000,128.476,149.153,104.000,115.613,106.567,243.688,101.677,97.829,8.200,122.193,42.425,59.000,112.355,46.219,169.227,151.036,104.986,108.588,53.273,151.830,438.500,139.943,95.891,67.188,134.506,138.176,260.375,106.906,130.095,288.875,123.841,165.450,354.333,115.631,131.137,702.545,119.161,143.070,48.176,60.340,139.259,131.000,110.658,100.757,12.800,90.992,92.305,198.600,134.496,146.225,443.571,137.336,108.197,177.059,141.007,139.189,98.846,154.089,118.413,29.375,119.694,79.847,69.562,108.861,87.508,203.000,133.821,123.612,403.125,107.324,118.401,831.462,119.978,103.058,532.812,119.875,109.795,51.312,159.847,70.756,482.538,140.123,92.846,240.250,136.008,86.745,17.154,82.907,133.437,97.500,136.928,152.550,96.524,134.530,64.188,245.923,119.568,137.758,260.000,100.506,137.095,57.226,153.371,135.862,1066.857,124.714,113.992,31.154,159.196,80.871,339.500,97.238,89.669,341.143,132.772,117.499,487.308,128.180,141.970
10,701.071,125.537,109.825,188.929,165.882,70.241,299.750,95.744,129.188,306.000,92.370,123.950,253.905,127.902,76.427,198.714,145.858,106.093,67.238,115.533,158.208,672.333,131.470,152.796,645.875,133.719,158.066,131.500,133.590,53.188,1321.484,91.513,108.666,262.800,100.765,105.712,279.833,115.007,125.628,327.462,97.427,163.840,521.389,97.341,139.758,571.722,114.396,117.512,180.875,132.050,162.857,448.692,122.544,118.171,294.938,131.217,80.884,471.810,146.742,97.833,557.176,154.531,129.563,10.000,38.905,79.427,587.167,133.621,131.107,652.923,128.390,149.107,122.643,115.566,106.296,189.750,101.588,98.143,7.400,121.792,43.438,61.000,112.480,46.368,222.545,150.917,104.997,124.471,52.804,151.811,223.600,140.006,95.992,83.562,134.401,138.169,192.375,106.947,130.182,225.750,123.795,165.416,193.667,115.577,131.267,745.273,119.154,143.086,87.588,60.507,139.091,155.615,110.411,100.523,71.800,91.124,91.937,185.700,134.394,146.343,428.643,137.308,108.112,160.471,141.099,139.146,174.923,154.044,118.279,54.062,119.567,79.669,123.062,109.052,87.476,201.385,133.901,123.616,411.125,107.224,118.578,605.154,120.020,103.046,462.312,119.810,109.690,29.062,159.924,70.729,408.923,140.088,92.812,215.375,135.882,86.942,2.923,83.235,133.357,126.688,137.073,152.594,69.381,134.375,64.331,328.846,119.680,137.863,485.000,100.530,137.095,93.871,153.200,135.642,728.143,124.752,113.962,38.615,159.104,80.712,360.000,97.308,89.592,323.905,132.989,117.641,503.154,128.210,141.924
11,511.286,125.522,109.882,152.571,165.907,70.198,345.875,95.820,129.131,238.800,92.315,124.045,338.190,127.892,76.457,169.571,145.951,105.996,62.952,115.443,158.361,604.917,131.395,152.787,748.375,133.749,158.100,143.000,133.680,53.341,1387.161,91.549,108.655,307.800,100.723,105.659,241.333,114.981,125.660,400.077,97.576,163.927,307.833,97.307,139.812,474.556,114.416,117.515,247.250,132.042,163.026,442.769,122.579,118.156,252.688,131.250,80.963,438.095,146.802,97.738,641.294,154.528,129.432,31.667,38.807,78.792,633.833,133.613,130.982,516.000,128.515,149.006,102.571,115.673,106.482,277.062,101.591,98.005,18.200,121.963,42.955,82.857,112.137,46.293,181.909,150.767,104.797,129.529,52.941,151.714,308.800,140.001,96.045,59.125,134.362,138.131,215.250,106.806,130.204,336.750,123.846,165.560,179.500,115.621,131.099,647.636,119.118,143.066,49.824,60.377,139.207,109.692,110.576,100.517,17.600,91.071,92.389,131.700,134.490,146.307,423.929,137.317,108.189,138.765,141.127,139.190,89.000,153.886,118.163,24.688,119.283,80.007,85.062,109.289,87.470,256.538,133.906,123.512,417.688,107.170,118.411,577.692,120.011,103.063,464.812,119.890,109.840,31.938,159.642,70.756,369.000,140.116,92.810,316.625,136.020,86.822,16.385,83.465,133.765,158.625,136.953,152.412,68.619,134.564,64.445,287.615,119.633,137.700,257.429,100.617,137.194,70.129,153.434,136.106,576.286,124.720,114.029,38.308,159.141,80.461,352.833,97.187,89.669,331.143,132.806,117.674,423.769,128.118,141.905
12,412.857,125.564,109.925,172.929,165.890,70.234,175.625,95.729,129.133,161.100,92.352,124.004,274.286,127.847,76.476,180.714,145.849,105.967,145.810,115.473,158.221,720.833,131.349,152.713,738.375,133.756,158.134,94.917,133.685,53.406,1302.387,91.578,108.688,292.500,100.697,105.766,227.833,115.113,125.486,320.154,97.543,163.885,235.056,97.387,139.802,512.722,114.373,117.609,246.250,132.054,162.950,446.923,122.517,118.153,202.688,131.241,80.905,431.143,146.798,97.820,584.824,154.519,129.494,32.500,38.595,78.895,704.417,133.619,130.998,559.154,128.491,149.124,77.500,115.512,106.290,213.875,101.621,98.102,15.800,121.926,43.359,49.857,112.369,46.201,198.591,150.838,104.932,166.588,52.860,151.874,354.700,139.956,96.103,78.438,134.237,138.138,149.000,106.904,130.149,236.750,123.721,165.522,244.667,115.682,131.120,735.091,119.172,143.012,41.353,60.310,139.227,105.000,110.379,100.874,13.900,91.297,92.004,158.300,134.346,146.351,388.643,137.294,108.234,240.059,141.051,139.101,105.846,154.060,118.327,32.750,119.278,80.062,93.062,109.269,87.693,253.846,133.883,123.503,386.562,107.194,118.321,410.769,120.058,103.091,406.438,119.875,109.809,27.625,159.813,70.775,264.538,140.085,92.890,381.000,135.861,86.799,19.000,83.261,133.355,87.500,136.980,152.484,94.476,134.220,64.166,297.462,119.706,137.820,269.714,100.588,137.038,67.097,153.216,136.070,341.286,124.813,113.962,18.923,159.156,80.344,326.083,97.339,89.590,251.238,132.901,117.512,407.154,128.181,142.004
13,477.929,125.618,109.969,148.857,165.924,70.303,301.125,95.809,129.038,199.000,92.298,123.886,315.238,127.834,76.428,167.429,145.839,106.169,84.952,115.270,158.425,725.583,131.463,152.663,723.125,133.777,158.122,77.667,133.571,53.255,795.419,91.475,108.670,302.700,100.805,105.745,264.000,115.030,125.657,402.923,97.547,163.958,265.056,97.368,139.573,445.000,114.359,117.528,164.750,132.075,162.890,355.615,122.603,118.139,192.000,131.239,80.940,438.571,146.839,97.778,666.471,154.510,129.395,69.000,38.705,79.825,680.917,133.579,131.145,691.231,128.513,149.064,106.357,115.546,106.452,232.875,101.580,98.005,3.900,121.913,43.078,73.286,112.454,46.291,190.409,150.904,104.999,177.882,52.685,151.778,345.500,139.999,95.964,96.062,134.314,138.355,226.125,106.954,130.086,301.625,123.899,165.620,185.000,115.640,131.138,743.273,119.209,143.074,59.471,60.407,139.287,136.769,110.415,100.485,14.000,91.211,92.453,189.700,134.456,146.149,376.571,137.291,108.225,209.706,141.026,139.130,163.923,154.153,118.346,16.062,119.394,79.984,81.875,109.087,87.230,220.308,134.034,123.541,428.438,107.266,118.427,392.692,119.903,103.131,451.312,119.824,109.849,24.750,159.861,70.577,346.615,140.100,92.830,326.250,135.950,86.741,0.000,NaN,NaN,128.938,136.741,152.480,90.857,134.489,64.147,297.769,119.757,137.895,198.857,100.640,137.149,100.774,153.169,136.000,347.286,124.789,114.041,35.154,159.374,80.313,336.667,97.208,89.619,352.000,132.878,117.623,554.000,128.166,141.878
14,420.000,125.620,109.981,208.214,165.867,70.238,2418.500,95.771,129.140,316.900,92.436,123.963,334.000,127.927,76.452,118.143,145.864,106.137,48.190,115.442,158.020,613.333,131.471,152.625,804.875,133.715,158.122,98.083,133.617,53.084,910.968,91.532,108.665,287.800,100.731,105.759,307.833,115.041,125.664,268.538,97.492,163.896,153.333,97.346,139.907,465.722,114.390,117.546,118.875,132.157,162.951,435.385,122.593,118.122,215.875,131.308,80.861,520.571,146.856,97.794,538.471,154.517,129.512,51.833,38.639,78.845,665.750,133.596,130.977,588.538,128.452,149.113,99.000,115.651,106.545,240.812,101.568,97.940,17.900,122.259,42.944,89.429,112.426,45.919,202.955,150.914,105.056,151.412,52.839,151.650,357.100,139.989,95.966,68.688,134.348,138.274,225.125,106.757,130.214,318.000,123.787,165.577,115.833,115.607,131.045,590.000,119.166,143.058,80.647,60.764,139.158,100.000,110.430,100.610,18.900,91.042,91.454,127.600,134.438,146.390,406.857,137.317,108.096,198.176,141.078,138.995,111.385,153.988,118.242,9.938,119.889,79.909,70.562,109.240,87.662,252.000,133.920,123.519,464.000,107.255,118.360,305.462,120.047,103.174,372.438,119.851,109.605,46.688,159.792,70.701,369.154,140.101,92.811,376.375,135.933,86.742,15.308,83.146,133.178,133.375,137.066,152.467,71.000,134.546,64.048,324.846,119.643,137.905,110.857,100.514,136.838,179.742,153.258,136.026,443.571,124.778,113.993,35.846,159.130,80.325,410.333,97.149,89.616,370.952,132.862,117.541,429.846,128.148,141.976
15,475.000,125.560,109.934,195.643,165.785,70.202,1426.125,95.790,129.144,309.900,92.341,123.897,405.143,127.949,76.512,128.286,145.834,105.885,56.190,115.544,157.997,540.083,131.408,152.736,677.125,133.729,158.103,118.083,133.653,53.028,825.355,91.500,108.690,336.400,100.784,105.616,309.833,115.020,125.521,399.923,97.573,163.845,150.000,97.343,139.663,505.111,114.339,117.536,246.750,132.114,162.932,442.538,122.587,118.157,205.312,131.188,80.973,524.857,146.799,97.786,638.471,154.543,129.465,24.833,38.774,79.552,787.917,133.634,131.015,640.231,128.444,149.079,80.357,115.497,106.668,248.625,101.497,98.013,2.700,122.295,42.625,42.500,112.337,46.381,195.864,150.683,105.009,86.353,52.964,151.764,415.900,140.005,96.011,96.500,134.131,138.419,204.250,106.802,130.066,216.375,123.845,165.562,122.000,115.589,131.141,666.909,119.222,143.032,52.882,60.608,139.064,134.231,110.433,100.682,39.100,91.135,91.807,305.600,134.523,146.283,325.071,137.352,108.295,155.176,141.125,139.137,121.769,154.023,118.271,21.938,119.364,80.064,62.562,109.282,87.464,236.615,133.808,123.582,496.875,107.245,118.335,384.462,120.027,103.084,498.438,119.840,109.793,39.812,159.820,70.511,280.385,140.054,92.852,323.625,135.844,86.762,12.923,82.945,133.270,103.188,137.190,152.445,69.000,134.412,64.057,280.538,119.793,137.869,214.000,100.565,136.988,106.774,153.156,136.142,484.714,124.792,114.002,66.077,159.334,80.330,385.000,97.162,89.575,291.238,132.930,117.684,428.000,128.240,142.043
16,406.857,125.554,109.864,2052.928,165.850,70.239,1450.875,95.801,129.178,215.500,92.404,124.052,777.524,127.880,76.493,112.143,145.730,106.057,79.333,115.311,158.446,579.333,131.468,152.708,689.500,133.753,158.162,159.583,133.725,53.373,957.871,91.478,108.672,356.900,100.699,105.781,299.500,114.957,125.501,309.000,97.585,163.934,224.778,97.287,139.915,479.389,114.368,117.493,218.250,132.126,162.886,364.538,122.645,118.048,202.688,131.222,81.001,508.286,146.752,97.805,615.647,154.566,129.483,29.500,38.858,79.552,737.583,133.624,130.955,635.385,128.495,149.126,122.714,115.592,106.733,198.250,101.669,97.987,12.500,121.727,43.116,58.643,112.423,46.208,247.091,150.934,104.994,122.824,52.772,151.668,363.600,139.921,96.010,127.312,134.362,138.499,152.750,106.884,130.162,110.625,123.888,165.621,207.333,115.577,131.171,682.909,119.201,143.092,49.059,60.225,139.110,107.385,110.426,100.584,29.700,91.029,92.146,202.300,134.573,146.265,323.071,137.290,108.188,275.824,141.068,139.148,92.615,154.000,118.316,57.625,119.640,79.672,56.875,108.850,87.562,270.308,133.808,123.531,397.688,107.237,118.392,349.000,120.044,103.047,447.250,119.918,109.915,717.312,159.834,70.751,378.462,140.090,92.859,243.500,136.036,86.752,13.077,82.693,133.900,90.875,136.873,152.383,63.857,134.566,64.263,398.077,119.704,137.807,130.857,100.531,136.957,58.774,153.382,136.392,299.429,124.693,113.865,15.692,159.240,80.153,318.833,97.200,89.554,256.381,132.833,117.688,505.769,128.115,141.957
17,502.571,125.530,109.954,2032.000,165.850,70.239,1701.875,95.764,129.121,3069.700,92.353,124.042,1580.286,127.833,76.476,175.714,145.810,106.083,148.952,115.468,158.272,695.917,131.461,152.652,590.500,133.768,158.082,103.000,133.621,53.051,924.323,91.641,108.654,360.700,100.721,105.709,268.167,114.929,125.542,377.385,97.597,163.861,210.889,97.325,139.745,474.833,114.402,117.545,141.125,132.068,163.046,361.154,122.609,118.183,265.750,131.232,80.962,409.619,146.837,97.819,717.294,154.491,129.496,77.000,38.770,79.155,848.750,133.626,131.021,552.154,128.451,149.127,82.429,115.638,106.139,306.125,101.775,98.018,0.700,121.896,42.802,39.286,112.531,46.230,226.409,150.801,105.048,164.353,52.863,151.804,420.300,139.992,95.868,92.000,134.152,138.593,146.375,106.854,130.003,249.500,123.919,165.442,183.167,115.564,131.099,596.727,119.214,143.113,30.353,60.255,139.311,76.846,110.466,100.413,22.800,91.189,91.980,93.100,134.551,146.194,361.714,137.315,108.166,117.529,141.102,139.206,70.154,154.235,118.413,29.625,119.588,79.905,64.688,109.085,87.356,355.923,133.971,123.521,405.125,107.350,118.455,369.538,119.937,103.103,437.125,119.870,109.854,455.625,159.812,70.777,363.462,140.186,92.807,326.250,135.963,86.888,1.308,82.615,133.455,94.812,137.059,152.754,79.238,134.489,64.294,359.462,119.624,137.895,133.286,100.562,136.921,60.258,153.293,135.893,458.714,124.741,114.091,24.615,159.365,79.967,334.083,97.098,89.645,338.952,132.906,117.655,457.692,128.106,141.909
