 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55,Mean56,XM56,YM56,Mean57,XM57,YM57
1,1149.250,88.496,79.714,210.125,81.684,96.219,583.048,51.646,121.985,527.412,72.063,97.268,479.429,110.590,92.627,62.000,38.469,100.021,119.935,126.061,112.434,7.875,56.983,117.780,61.161,136.242,116.723,35.062,61.165,124.111,303.308,31.527,110.906,116.833,59.833,113.855,66.545,116.372,101.566,35.135,72.882,124.374,64.833,24.507,106.133,66.286,97.117,133.866,16.538,99.162,126.445,243.417,60.085,100.708,4079.625,106.022,115.319,112.000,152.730,95.558,62.688,98.051,108.518,352.062,116.606,131.897,286.375,66.593,89.726,40.545,55.735,135.658,865.475,82.763,143.002,219.062,108.536,109.966,247.000,107.262,99.979,89.000,70.967,88.354,47.250,93.224,97.741,75.191,72.292,107.396,123.667,98.311,112.202,715.000,54.891,106.375,155.000,94.826,85.930,242.000,117.030,116.226,39.625,109.743,104.394,18.250,67.213,117.441,30.750,90.398,128.754,137.548,111.501,125.826,218.323,108.727,132.295,40.000,87.497,118.230,335.750,159.608,103.687,39.429,102.668,90.415,109.900,103.611,104.588,107.688,31.841,101.195,642.167,21.055,113.492,181.469,77.113,113.524,35.941,89.728,103.951,65.333,103.894,86.022,8.095,78.355,86.984,40.333,127.715,104.014,8.538,120.005,121.223,77.625,119.083,92.365,12.500,122.258,99.628,60.182,154.226,117.677,90.167,122.032,130.603,19.619,156.597,132.343,9.125,140.670,121.675
2,422.125,88.456,79.730,94.500,81.824,96.158,493.714,51.600,122.054,512.588,72.117,97.196,511.905,110.551,92.573,20.800,37.975,100.285,106.000,126.033,112.644,22.750,57.393,117.653,23.484,136.265,117.235,25.688,61.168,124.460,405.077,31.554,110.840,85.500,59.847,113.843,87.136,116.452,101.503,70.757,72.486,124.320,105.833,24.274,105.984,65.619,97.092,133.563,19.769,98.285,126.420,357.833,60.182,100.662,3904.375,106.005,115.320,222.250,152.870,95.593,62.125,97.864,108.131,193.250,116.464,131.852,255.125,66.543,89.714,32.545,55.777,135.261,229.625,83.111,142.971,628.938,108.473,110.057,2500.625,107.277,99.945,114.571,70.807,88.385,62.750,93.105,97.798,67.532,72.231,107.333,60.000,98.487,111.944,768.889,54.905,106.333,92.059,94.982,86.010,71.314,117.145,116.432,131.250,110.048,104.200,35.250,67.029,117.559,14.667,90.115,128.733,67.290,111.224,126.054,165.355,108.957,132.310,59.952,87.597,118.241,398.625,159.609,103.607,75.214,102.465,90.563,261.400,103.640,104.745,65.031,31.998,101.060,691.611,21.105,113.495,140.219,76.925,113.385,57.235,89.921,104.174,28.500,103.666,86.132,14.857,78.267,87.003,0.000,NaN,NaN,16.000,120.183,120.770,56.625,119.036,92.469,2.750,122.013,99.707,101.636,154.203,117.836,77.167,121.927,130.727,23.048,156.140,132.624,6.875,140.895,121.365
3,157.250,88.579,79.714,194.625,81.753,96.159,579.143,51.634,121.939,396.588,72.048,97.162,453.524,110.561,92.479,34.400,38.381,100.189,83.548,126.215,112.322,54.688,57.227,117.655,11.032,136.341,117.061,27.250,61.114,123.535,276.692,31.487,110.909,70.833,60.003,113.955,64.909,116.285,101.624,48.865,72.417,124.106,94.833,24.504,105.797,19.333,97.202,133.423,24.923,98.736,127.080,425.667,60.230,100.664,2844.531,105.988,115.359,134.000,152.960,95.697,26.312,97.903,108.276,231.375,116.469,131.787,221.750,66.733,89.674,24.182,55.745,135.725,158.925,82.930,143.166,1861.750,108.430,110.016,2438.500,107.279,99.961,73.429,70.779,88.227,46.375,92.955,97.884,71.617,72.380,107.440,150.000,98.397,112.164,671.833,54.876,106.381,97.235,94.965,85.987,34.600,117.220,116.370,87.125,109.900,104.220,138.000,66.920,117.527,44.500,90.164,128.634,88.903,111.528,125.802,157.097,108.977,132.073,21.476,87.554,118.400,277.125,159.576,103.607,72.214,102.789,90.459,468.000,103.697,104.670,96.688,31.708,100.936,306.278,21.111,113.481,125.125,76.910,113.455,20.529,89.928,104.268,97.500,103.910,86.174,4.667,77.763,87.050,17.500,127.919,104.120,3.538,120.219,120.907,89.250,119.273,92.512,1.375,121.365,99.665,35.636,154.241,118.132,28.167,121.849,130.839,9.238,156.270,132.742,0.750,140.895,121.985
4,161.875,88.417,79.758,96.875,81.783,95.920,629.905,51.497,121.950,3997.118,72.087,97.191,471.143,110.608,92.531,16.200,37.642,100.243,154.387,125.902,112.450,43.250,56.980,117.627,25.419,136.396,117.069,42.688,61.259,124.312,319.769,31.541,110.964,92.833,59.981,113.954,108.545,116.429,101.308,38.216,72.918,123.982,125.333,24.368,106.153,8.190,97.044,133.487,29.308,98.545,127.144,403.917,60.218,100.706,1222.688,106.045,115.390,218.750,152.854,95.728,37.688,98.010,108.521,198.688,116.600,131.783,235.375,66.710,89.662,18.364,55.587,135.935,180.000,82.969,143.162,886.312,108.440,110.021,1294.500,107.272,99.968,87.929,71.031,88.429,15.250,92.878,97.863,127.787,72.345,107.321,145.667,98.126,112.129,814.611,54.836,106.486,96.176,94.824,86.280,24.143,117.002,116.071,44.375,109.902,104.437,6.500,66.805,117.645,38.000,90.468,128.488,92.581,111.140,126.199,181.355,108.948,132.190,49.524,87.803,118.122,255.875,159.667,103.742,80.357,102.674,90.583,230.700,103.618,104.624,45.469,31.963,101.115,64.833,21.240,113.525,202.531,76.967,113.535,44.353,89.919,104.007,201.167,103.773,86.341,21.429,78.079,86.926,22.167,127.663,104.408,5.692,120.142,121.227,47.250,119.334,92.183,45.000,122.036,99.916,16.182,154.225,118.007,74.167,121.858,130.643,2.667,156.395,131.905,15.375,140.802,121.441
5,193.000,88.513,79.675,186.625,81.615,96.215,628.476,51.688,121.959,3943.177,72.097,97.180,441.238,110.539,92.527,72.600,37.577,100.212,132.258,125.788,112.326,42.438,57.272,117.738,56.323,136.384,116.915,15.375,61.354,124.163,338.615,31.555,110.832,193.000,59.840,113.811,68.182,116.574,101.719,36.541,72.927,124.458,151.000,24.461,106.193,40.571,97.167,133.729,47.692,98.569,126.687,347.583,60.286,100.722,763.562,105.975,115.308,127.500,152.702,95.850,54.625,98.089,107.900,305.688,116.617,131.738,249.250,66.648,89.658,13.818,55.645,135.641,168.475,82.838,143.078,226.312,108.508,110.141,807.000,107.281,99.973,83.143,71.001,88.476,22.125,93.106,98.140,75.872,72.415,107.564,117.333,98.385,112.345,786.111,54.891,106.410,78.118,94.750,86.076,19.686,116.805,116.252,66.750,109.919,104.181,43.250,66.830,117.620,67.167,90.257,128.460,100.774,111.466,125.892,170.323,108.944,132.156,44.095,87.924,118.237,306.000,159.640,103.600,89.929,102.630,90.845,87.700,103.708,104.462,55.812,32.086,100.763,69.222,21.152,113.667,158.844,77.021,113.364,20.118,89.933,104.223,106.833,103.873,86.430,10.286,77.824,86.975,0.000,NaN,NaN,10.615,120.213,121.722,69.250,119.083,92.363,2.000,121.675,99.975,54.545,154.165,117.900,86.000,121.807,130.776,4.190,156.310,132.398,5.750,140.895,121.675
6,168.375,88.579,79.550,148.750,81.584,96.152,590.286,51.665,121.953,2149.765,72.176,97.201,392.952,110.570,92.607,29.200,37.654,100.209,159.226,125.986,112.348,62.312,56.957,117.665,15.935,136.613,117.046,32.375,61.081,123.982,347.769,31.442,110.946,103.167,59.774,113.645,55.818,116.235,101.602,36.541,72.896,124.146,166.833,24.618,105.989,43.905,97.233,133.661,31.231,98.791,126.619,261.333,60.236,100.837,627.000,106.076,115.339,146.250,152.728,95.715,24.812,98.086,108.194,271.812,116.542,131.816,247.375,66.690,89.767,6.545,55.335,135.315,208.050,82.999,143.136,197.312,108.514,109.929,486.500,107.375,100.009,95.714,70.916,88.341,34.125,92.917,97.797,91.702,72.054,107.349,59.167,98.446,112.140,686.111,54.958,106.401,109.294,94.939,86.022,28.886,117.266,116.426,81.375,109.907,104.152,59.500,67.115,117.645,51.083,90.102,128.378,158.710,111.306,125.833,169.613,109.003,132.409,57.000,87.853,117.989,304.875,159.573,103.698,75.857,102.551,90.688,133.200,103.477,104.585,85.156,31.872,100.856,50.389,20.963,113.255,175.000,77.086,113.573,41.000,90.145,104.217,115.833,103.704,86.233,0.000,NaN,NaN,10.833,127.770,104.539,9.462,120.155,121.005,53.125,119.102,92.236,7.125,121.675,99.447,104.000,154.104,118.081,28.167,121.517,130.544,19.714,156.537,132.592,2.375,140.895,120.745
7,150.250,88.503,79.705,174.375,81.819,96.110,3033.333,51.617,122.003,647.882,72.077,97.201,546.286,110.591,92.535,24.000,38.375,99.978,149.806,125.840,112.198,39.375,57.170,117.915,44.710,136.462,116.728,25.500,61.116,123.647,241.154,31.420,110.925,82.167,59.755,113.688,30.682,116.456,101.645,52.054,73.062,123.994,159.333,24.568,106.001,41.238,97.151,133.645,29.231,98.572,126.710,253.167,60.160,100.700,757.625,106.073,115.386,40.000,153.103,95.738,39.438,97.886,108.009,250.062,116.567,131.690,252.875,66.628,89.785,32.545,55.687,135.047,185.900,82.942,143.050,196.625,108.434,110.194,354.375,107.388,100.018,118.357,70.633,88.438,5.500,93.465,97.495,91.574,72.307,107.240,21.667,98.067,112.175,719.722,54.891,106.304,82.294,94.784,86.116,35.743,117.120,116.438,44.125,110.014,104.363,11.750,67.504,117.546,35.000,90.392,128.635,77.226,111.506,126.115,211.871,109.012,132.296,37.905,87.779,118.172,389.000,159.581,103.580,100.357,102.803,90.599,95.900,103.594,104.580,75.750,32.103,100.880,55.167,20.981,113.405,166.812,77.087,113.477,24.294,89.634,104.002,52.000,103.975,85.764,2.381,77.990,86.409,20.000,127.968,104.005,13.462,120.400,121.335,56.000,118.982,92.400,14.125,121.971,99.791,31.091,154.229,117.569,23.167,121.880,130.571,14.000,156.271,132.835,9.250,140.698,121.168
8,124.125,88.560,79.658,92.125,81.813,96.168,4020.857,51.616,121.991,372.000,72.125,97.209,522.952,110.639,92.519,289.200,37.873,100.078,103.613,125.949,112.489,30.938,56.985,117.969,70.710,136.334,116.835,48.875,61.004,124.121,340.231,31.439,111.098,199.167,59.721,113.822,69.136,116.297,101.572,48.486,73.089,124.243,59.500,24.464,106.043,47.905,97.207,133.663,29.923,98.547,126.739,288.083,60.281,100.700,670.750,105.982,115.256,114.500,152.781,95.628,50.062,98.026,108.426,259.938,116.556,131.810,230.125,66.618,89.742,29.091,55.599,135.418,186.375,82.952,143.067,145.812,108.536,110.330,449.750,107.296,99.911,84.286,70.941,88.329,54.125,92.914,97.816,87.319,71.838,107.371,40.833,98.212,112.181,795.611,54.891,106.321,69.471,94.851,86.099,26.686,117.125,116.534,11.250,110.450,104.205,96.250,67.065,117.363,35.083,90.183,128.831,113.871,111.570,126.237,98.968,108.796,132.195,42.905,87.519,118.323,234.875,159.674,103.659,137.786,102.614,90.668,171.400,103.600,104.440,368.938,31.858,100.912,50.056,21.206,113.165,192.719,77.099,113.567,36.176,89.977,104.015,68.167,103.809,86.256,26.000,78.013,86.664,20.667,127.790,104.583,17.308,120.261,121.828,23.625,119.238,92.502,22.000,121.855,99.607,80.364,154.191,117.969,21.833,122.018,130.866,21.714,156.436,132.129,0.000,NaN,NaN
9,117.500,88.515,79.766,114.625,81.546,96.318,2907.333,51.593,121.994,524.000,72.145,97.148,365.238,110.659,92.530,766.800,37.913,100.133,95.677,126.053,112.323,56.375,56.933,117.988,44.581,136.565,116.724,12.188,61.405,123.875,369.077,31.484,111.022,79.500,59.732,113.688,63.955,116.429,101.659,35.838,73.062,124.426,123.000,24.558,105.933,64.286,97.219,133.883,13.385,98.279,126.418,247.250,60.214,100.775,655.125,106.062,115.303,161.500,152.802,95.554,61.438,98.129,108.380,188.188,116.590,131.867,208.125,66.754,89.644,29.273,55.580,135.821,201.950,82.830,143.075,214.812,108.504,110.084,260.750,107.275,99.941,39.929,71.206,88.237,31.750,92.797,97.477,129.191,72.408,107.413,129.333,98.132,112.147,788.000,54.856,106.390,68.353,95.093,86.063,11.429,116.992,116.035,40.375,109.939,104.250,99.000,67.010,117.394,28.417,90.177,128.560,125.032,111.668,126.010,201.613,109.061,132.085,56.190,87.650,117.932,251.500,159.619,103.767,108.857,102.704,90.649,55.400,103.571,104.824,711.531,31.934,100.895,66.944,21.148,113.611,165.094,76.994,113.421,16.647,89.864,103.693,66.333,103.985,86.330,0.571,78.120,86.955,34.833,127.882,104.050,16.692,120.479,121.131,93.250,119.155,92.225,7.125,121.882,99.757,74.182,154.219,117.874,59.000,121.559,130.526,10.381,155.775,131.595,0.750,141.205,121.365
10,163.250,88.536,79.727,150.750,81.534,96.069,1147.524,51.644,121.985,470.353,72.067,97.109,422.476,110.559,92.575,397.200,37.840,100.082,108.258,126.006,112.301,39.000,56.951,118.019,55.290,136.286,116.602,16.875,61.233,124.510,335.923,31.432,111.020,103.000,59.925,113.762,41.545,116.359,101.767,70.541,72.935,124.196,70.500,24.304,106.023,45.143,97.425,133.973,22.538,98.881,127.193,223.667,60.155,100.816,628.750,106.022,115.317,183.750,152.809,95.595,59.188,98.102,108.181,217.688,116.596,131.990,296.125,66.600,89.848,12.364,55.681,135.661,157.500,83.088,143.033,233.125,108.542,109.883,233.625,107.308,99.855,69.000,70.877,88.202,22.250,92.845,97.539,129.319,72.392,107.457,67.500,98.309,112.265,672.167,54.789,106.302,94.706,94.860,86.050,30.857,116.750,116.299,44.000,110.124,104.168,4.750,67.425,117.335,22.417,90.247,128.191,83.935,111.310,125.899,103.419,108.974,132.068,71.571,87.678,117.858,323.750,159.567,103.611,108.571,102.563,90.891,89.400,103.665,104.554,225.406,32.049,100.954,63.556,20.713,113.697,229.750,76.923,113.374,13.882,90.045,104.216,116.333,103.822,86.109,4.857,77.746,86.767,0.000,NaN,NaN,13.000,119.782,121.448,120.125,119.165,92.221,59.250,121.733,99.651,50.909,154.181,117.844,22.833,121.856,130.126,3.238,156.395,131.905,8.875,140.895,121.601
11,175.000,88.585,79.721,204.625,81.637,96.072,681.810,51.670,122.004,570.471,72.006,97.179,519.619,110.538,92.429,116.200,37.900,100.272,103.419,125.969,112.058,97.000,56.734,117.857,82.516,136.188,116.820,54.938,61.418,124.136,3620.231,31.470,110.964,146.000,59.688,113.714,98.182,116.346,102.035,44.757,72.856,124.116,102.333,24.380,106.042,47.429,97.222,133.403,10.692,98.847,127.090,210.083,60.222,100.694,666.188,105.987,115.274,183.750,152.716,95.549,81.188,98.227,108.198,181.000,116.496,131.665,290.250,66.738,89.714,31.818,55.728,135.427,235.425,82.849,143.030,208.812,108.587,110.073,277.375,107.265,100.060,139.643,70.616,88.290,22.125,92.948,98.106,91.702,72.383,107.314,155.000,98.240,112.039,725.611,54.865,106.315,62.941,95.026,85.884,21.886,117.094,116.628,58.500,109.788,104.355,17.250,67.425,117.335,62.583,90.239,128.253,143.097,111.518,125.697,120.258,108.897,132.466,42.952,87.537,118.196,276.125,159.620,103.694,99.714,102.671,90.544,138.400,103.652,104.712,98.781,31.773,100.828,92.111,21.263,113.340,185.156,76.795,113.476,17.176,89.985,104.084,96.500,103.761,86.311,20.000,77.646,86.645,67.833,127.756,104.103,31.692,120.370,121.057,86.125,119.006,92.339,1.125,121.365,99.665,98.727,154.339,117.762,61.500,121.952,130.321,12.190,156.271,132.077,12.875,141.148,121.332
12,320.000,88.585,79.829,174.625,81.821,96.003,568.000,51.585,122.028,443.882,72.104,97.206,474.762,110.535,92.541,25.400,38.248,100.014,51.806,125.861,112.409,708.062,57.061,117.735,63.290,136.406,116.898,52.938,61.129,124.059,3224.039,31.496,110.978,69.500,59.888,113.767,35.955,116.401,101.572,38.486,72.879,124.183,116.500,24.370,106.197,25.619,97.016,133.740,19.538,98.409,126.688,161.000,60.192,100.737,643.438,106.041,115.351,62.250,152.973,95.534,83.250,98.186,108.190,197.938,116.472,131.780,193.125,66.729,89.547,7.636,55.793,136.097,185.250,82.829,143.156,179.562,108.440,110.137,185.000,107.241,99.947,84.500,70.918,88.309,10.125,93.388,97.728,116.596,72.099,107.415,80.833,98.208,112.023,774.667,54.902,106.322,57.000,94.595,85.954,52.171,117.286,116.404,22.750,110.036,104.398,9.250,67.660,117.645,37.000,90.299,128.602,96.968,111.666,125.969,145.806,109.147,132.374,64.286,87.500,118.320,235.000,159.650,103.671,80.714,102.745,90.648,66.900,103.430,104.824,71.000,31.676,101.066,108.944,21.464,113.443,153.344,76.873,113.514,19.647,89.662,104.348,66.500,103.853,86.281,30.762,77.819,86.688,21.833,127.875,104.140,16.462,120.232,121.566,67.875,119.132,92.218,31.500,121.892,99.493,53.636,154.198,118.282,30.833,121.734,130.854,11.429,156.377,132.502,0.000,NaN,NaN
13,2764.000,88.463,79.701,208.875,81.633,96.117,548.667,51.647,122.034,405.647,72.217,97.142,451.238,110.648,92.476,33.600,37.909,100.233,92.839,126.124,112.232,740.562,57.135,117.855,87.097,136.437,116.708,33.438,61.232,124.260,1730.923,31.484,110.952,68.667,59.813,114.050,42.545,116.579,101.651,32.541,72.756,124.272,70.667,24.391,106.019,29.810,97.098,133.543,19.846,98.861,127.050,171.583,60.228,100.621,722.562,105.997,115.337,92.500,152.688,95.674,59.875,97.944,108.051,134.062,116.607,131.741,204.750,66.809,89.685,11.455,55.886,135.738,220.900,82.832,143.052,168.312,108.645,110.143,212.875,107.323,99.922,87.000,70.708,88.465,47.750,92.885,97.971,88.723,72.448,107.411,78.167,98.334,112.145,767.833,54.880,106.379,77.353,94.774,86.013,35.029,117.116,116.382,11.125,110.184,103.831,0.000,NaN,NaN,46.583,90.193,128.844,100.968,111.341,126.008,156.387,109.014,132.001,29.619,87.377,117.865,375.125,159.624,103.746,125.143,102.674,90.750,70.900,103.613,104.592,113.188,31.765,100.904,78.778,20.973,113.406,120.500,76.810,113.361,19.765,90.239,104.511,81.000,104.038,86.077,10.190,78.014,86.758,27.333,127.508,104.277,12.615,120.616,121.119,56.750,119.358,92.322,23.000,122.137,99.658,52.182,154.170,118.012,15.500,121.565,130.355,11.429,156.398,132.520,6.125,141.205,121.365
14,1755.750,88.440,79.701,207.875,81.674,96.133,500.476,51.610,121.982,420.000,72.195,97.196,545.429,110.486,92.504,41.400,37.906,100.137,111.613,125.994,112.234,395.438,57.086,117.806,41.871,136.457,116.958,14.938,60.718,123.531,1739.538,31.524,110.953,110.833,60.033,113.932,40.909,116.329,101.679,45.838,72.723,124.101,134.167,24.437,106.130,81.714,97.130,133.591,34.308,98.542,126.950,227.083,60.087,100.695,658.438,106.034,115.352,155.500,152.807,95.533,68.188,98.065,108.344,212.938,116.548,131.647,216.125,66.629,89.694,0.000,NaN,NaN,185.575,82.961,142.955,192.438,108.582,109.904,270.000,107.224,100.051,81.786,70.770,88.401,36.500,93.025,97.838,355.021,72.425,107.465,147.167,98.387,112.234,861.222,54.915,106.359,91.765,95.033,85.815,31.000,116.752,116.105,29.500,110.259,104.009,25.250,67.646,117.645,51.833,90.184,128.440,72.903,111.452,125.856,89.226,108.928,132.348,50.905,87.869,118.393,233.750,159.658,103.676,97.643,102.721,90.697,40.700,103.674,104.587,35.219,31.639,100.610,41.056,20.734,113.669,171.438,76.862,113.218,18.059,90.087,104.436,60.333,103.961,86.209,9.619,78.134,86.507,11.500,127.255,104.005,26.385,120.088,121.310,101.875,118.839,92.366,5.375,121.725,99.391,40.545,154.192,118.134,53.667,121.935,130.410,9.048,156.085,132.835,1.625,141.205,121.055
15,701.500,88.625,79.763,164.875,81.775,96.072,419.619,51.650,121.928,382.706,72.094,97.154,506.381,110.594,92.530,60.000,38.050,100.069,133.935,125.978,112.273,78.625,57.277,117.818,41.677,136.317,117.073,22.875,61.138,124.252,693.846,31.462,110.955,120.167,59.857,113.730,37.909,116.596,101.783,532.432,72.796,124.090,105.500,24.595,105.978,5.810,97.216,133.440,27.846,99.051,126.564,173.750,60.335,100.708,713.875,106.036,115.302,153.000,152.900,95.574,223.188,97.870,108.244,231.062,116.706,131.781,260.750,66.659,89.818,8.545,55.645,135.625,227.425,82.942,143.014,141.062,108.517,110.087,291.875,107.332,100.063,1640.857,70.760,88.360,621.500,92.976,97.772,1219.872,72.270,107.434,1639.000,98.225,112.218,721.944,54.862,106.397,100.706,95.006,85.953,26.171,117.156,115.857,19.375,110.025,104.317,151.000,66.928,117.540,37.333,90.418,128.627,96.645,111.456,125.992,90.968,108.969,132.235,59.619,87.983,118.048,287.000,159.616,103.663,82.571,102.794,90.686,91.700,103.511,104.594,86.750,32.015,101.032,51.944,20.907,113.532,204.188,76.943,113.303,22.941,90.185,104.073,126.500,103.742,86.248,26.857,78.403,86.745,0.833,127.565,103.695,2.692,120.435,120.435,55.000,118.910,92.393,16.625,122.099,99.616,86.909,154.094,117.914,40.167,121.489,130.437,16.667,156.680,132.550,1.125,141.205,121.365
16,302.750,88.529,79.704,268.875,81.737,96.046,559.810,51.663,122.043,376.118,72.140,97.189,476.952,110.543,92.475,21.000,37.783,100.285,110.258,126.035,112.068,76.312,57.290,117.833,41.032,136.537,116.851,28.000,61.121,124.212,245.077,31.518,110.958,162.833,59.948,113.923,55.000,116.338,101.691,184.919,72.741,123.926,64.667,24.360,106.147,29.619,97.350,133.642,12.692,98.876,126.757,408.750,60.300,100.721,596.750,106.049,115.311,116.750,152.812,95.483,144.312,97.820,108.215,244.000,116.609,131.742,225.125,66.555,89.726,82.909,55.577,135.804,171.475,82.954,142.976,194.938,108.558,110.215,255.125,107.183,100.162,947.714,70.813,88.311,564.250,92.988,97.769,851.489,72.341,107.405,1062.000,98.247,112.241,4095.000,54.870,106.330,59.000,94.815,86.092,10.857,117.005,116.416,52.625,109.890,104.435,59.250,67.173,117.428,60.833,90.121,128.535,136.323,111.563,125.746,111.097,109.091,132.234,58.476,87.872,118.277,383.125,159.617,103.685,122.429,102.544,90.528,106.500,103.479,104.468,70.844,31.863,100.871,56.000,20.794,113.259,166.969,76.890,113.391,35.412,89.736,104.027,48.667,103.767,86.039,11.810,78.203,86.583,42.000,127.543,104.027,0.000,NaN,NaN,106.250,118.978,92.319,44.625,121.828,99.709,44.000,154.075,118.070,109.333,121.609,130.636,13.238,156.052,132.706,14.000,141.327,121.343
17,215.375,88.612,79.643,2921.125,81.725,96.140,677.524,51.601,122.021,462.588,72.167,97.178,527.619,110.533,92.544,17.600,37.802,99.975,94.452,125.938,112.365,78.688,56.927,117.789,43.097,136.375,117.004,29.562,61.157,123.970,265.231,31.548,111.095,79.667,59.901,113.751,38.864,116.473,101.344,117.243,72.862,123.933,118.500,24.497,106.014,23.238,97.067,133.746,26.154,99.034,127.037,558.333,60.316,100.693,665.625,106.090,115.314,159.250,152.899,95.567,61.438,97.752,108.355,221.625,116.588,131.970,329.625,66.675,89.722,48.182,55.671,135.781,200.675,82.906,143.073,171.438,108.574,110.220,320.625,107.227,99.957,292.286,70.822,88.335,222.250,93.066,97.838,535.872,72.375,107.290,657.500,98.149,112.229,4095.000,54.870,106.330,83.294,94.897,86.133,17.000,116.799,116.248,19.750,109.983,104.297,29.500,66.805,117.335,41.250,90.349,128.566,64.839,111.260,125.904,109.806,108.968,132.192,67.333,87.588,118.246,272.250,159.574,103.777,71.500,102.720,90.761,90.700,103.720,104.743,69.500,31.886,101.139,79.722,21.291,113.463,181.469,76.885,113.358,11.000,89.806,104.005,80.000,103.963,86.193,21.048,78.093,86.562,18.667,127.432,104.293,67.385,120.481,121.111,67.375,118.987,92.273,2.250,121.692,99.665,5.455,154.225,118.027,17.500,122.171,130.641,1.810,156.101,131.660,14.750,140.585,121.412
18,210.000,88.366,79.793,1721.875,81.746,96.127,430.952,51.606,122.012,267.529,72.071,97.230,456.571,110.601,92.479,17.400,38.004,100.178,62.065,125.950,112.445,43.312,57.123,117.587,56.710,136.266,116.777,30.500,61.048,123.931,250.154,31.492,111.009,179.167,59.773,113.593,51.636,116.532,101.914,208.919,72.807,124.053,144.833,24.487,105.941,68.476,97.350,133.913,34.692,98.852,126.873,1319.750,60.277,100.682,721.125,106.033,115.268,46.500,152.620,95.460,49.062,97.883,107.980,230.438,116.662,131.788,238.000,66.740,89.794,5.455,55.645,135.315,201.225,82.840,143.061,188.062,108.515,110.042,243.250,107.349,99.852,67.929,70.850,88.213,74.625,92.986,97.631,180.383,72.315,107.359,315.667,98.315,112.166,3655.472,54.891,106.336,67.706,94.787,86.253,33.371,116.904,116.325,18.250,110.396,104.169,122.250,67.484,117.502,36.667,90.411,128.329,108.258,111.494,125.815,112.710,108.922,132.094,82.667,87.753,118.277,220.750,159.554,103.593,91.214,102.715,90.765,81.400,103.614,104.669,69.594,31.753,101.114,48.778,21.224,113.633,174.562,76.879,113.426,15.882,90.023,103.999,40.500,103.916,86.238,16.571,77.801,87.101,8.833,127.454,103.806,5.077,119.824,121.271,31.000,119.238,92.085,14.500,121.622,99.783,70.364,154.193,118.013,12.333,122.224,130.284,6.286,156.226,132.779,4.875,141.022,121.119
19,106.000,88.402,79.500,1013.625,81.712,96.126,600.952,51.589,122.018,352.941,72.051,97.141,385.333,110.580,92.497,93.800,38.034,100.210,105.355,126.103,112.257,55.250,56.876,117.966,15.484,136.605,116.555,13.375,61.092,124.074,290.385,31.510,110.852,97.833,59.742,113.813,417.500,116.463,101.735,138.919,72.968,124.178,57.167,24.465,106.117,26.190,97.453,133.801,20.000,98.642,127.222,1821.417,60.259,100.701,688.125,106.068,115.348,89.500,152.539,95.515,137.125,97.756,108.180,187.875,116.475,131.669,258.250,66.782,89.661,43.091,55.621,135.595,223.875,82.858,143.014,192.875,108.463,109.888,252.625,107.189,100.175,108.286,71.042,88.403,35.750,92.917,97.883,91.830,72.166,107.297,1243.167,98.247,112.210,1604.778,54.847,106.333,122.176,94.880,85.842,27.800,117.045,116.005,17.750,110.240,104.625,159.000,67.100,117.366,22.083,90.035,128.707,103.161,111.618,126.112,142.323,108.958,132.287,126.190,87.555,118.153,322.750,159.662,103.630,64.143,102.586,90.781,63.300,103.662,104.604,42.906,32.029,100.755,42.278,21.341,113.141,214.688,76.921,113.589,15.647,90.055,104.306,96.000,103.975,86.288,70.095,78.150,86.415,2.167,127.875,104.005,0.154,120.125,121.985,49.250,119.211,92.306,73.500,122.038,99.763,75.636,154.125,117.957,73.333,121.971,130.399,4.095,156.395,132.280,4.125,141.186,121.403
