 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55,Mean56,XM56,YM56,Mean57,XM57,YM57,Mean58,XM58,YM58,Mean59,XM59,YM59,Mean60,XM60,YM60,Mean61,XM61,YM61,Mean62,XM62,YM62,Mean63,XM63,YM63,Mean64,XM64,YM64,Mean65,XM65,YM65,Mean66,XM66,YM66,Mean67,XM67,YM67,Mean68,XM68,YM68,Mean69,XM69,YM69,Mean70,XM70,YM70,Mean71,XM71,YM71,Mean72,XM72,YM72,Mean73,XM73,YM73,Mean74,XM74,YM74,Mean75,XM75,YM75,Mean76,XM76,YM76,Mean77,XM77,YM77,Mean78,XM78,YM78,Mean79,XM79,YM79,Mean80,XM80,YM80
1,82.400,100.119,134.256,51.000,93.658,128.967,313.250,25.682,113.588,216.667,24.084,118.524,45.333,84.034,157.409,31.300,97.285,36.447,247.308,15.134,110.216,269.250,10.998,112.560,270.909,18.786,106.638,112.167,47.205,83.688,237.200,36.678,132.258,114.706,34.850,115.575,163.091,75.837,80.400,130.125,69.541,82.605,26.727,64.783,94.498,124.364,59.407,96.202,66.364,38.941,91.833,108.000,44.675,93.548,177.375,90.088,92.697,242.750,63.777,100.467,291.500,19.693,114.377,291.500,13.151,115.071,71.500,29.440,111.856,102.952,63.012,130.317,57.500,39.925,85.900,414.250,20.188,90.366,303.091,12.252,93.934,115.714,34.125,90.004,296.429,26.776,89.231,271.333,40.277,142.305,123.833,52.973,122.686,190.400,63.599,72.543,91.200,47.794,96.544,78.500,65.536,123.642,69.091,58.717,125.821,209.000,48.534,101.567,159.111,62.503,81.733,56.250,62.955,76.525,57.500,102.311,34.239,52.000,24.952,83.831,284.000,27.124,123.610,265.714,23.683,107.632,205.857,73.027,108.127,279.250,79.552,108.554,76.846,21.866,78.688,254.750,66.646,110.207,166.400,54.641,101.100,78.750,44.660,130.878,195.750,28.111,118.473,53.818,42.668,80.357,88.500,17.769,85.828,245.500,21.978,123.342,212.444,38.610,112.738,75.125,93.150,85.727,160.500,30.500,103.281,154.667,24.789,102.683,260.625,22.566,91.930,233.091,53.928,110.538,250.100,51.142,115.961,156.800,72.695,73.057,117.538,11.200,98.661,51.500,104.730,40.442,29.333,110.657,47.659,219.000,38.483,104.437,136.625,34.712,97.178,212.182,29.325,93.384,150.710,41.362,123.058,138.500,32.253,108.175,84.500,66.365,117.169,152.000,47.151,77.987,192.250,58.903,116.781,217.333,50.464,130.784,109.100,82.612,85.535,81.810,71.483,88.697,141.900,87.712,132.769,199.625,34.263,120.317,112.615,79.711,132.483,94.500,103.465,50.352,156.500,62.148,105.921,22.714,55.953,87.478
2,80.700,99.907,134.101,38.125,93.606,128.748,414.500,25.694,113.607,250.571,23.978,118.534,46.000,84.306,157.195,23.800,97.341,36.447,244.231,15.143,110.202,230.625,11.120,112.552,277.818,18.784,106.524,82.083,47.408,83.737,243.400,36.599,132.296,99.294,35.122,115.513,77.636,75.879,80.491,52.625,69.397,82.826,80.182,65.059,94.453,86.545,59.190,96.373,77.818,38.838,92.183,30.500,44.960,93.605,97.000,90.187,92.495,162.000,63.591,100.417,414.750,19.712,114.347,250.250,13.170,115.012,162.333,29.438,111.997,90.667,62.820,130.287,10.250,39.835,86.025,282.750,20.133,90.351,316.364,12.265,93.812,126.714,34.156,89.804,374.286,26.812,89.409,220.833,40.349,142.316,201.167,52.995,122.638,109.600,63.581,72.449,115.000,47.713,96.661,79.429,65.820,123.642,124.364,58.683,125.788,166.000,48.691,101.574,201.778,62.501,81.763,16.250,63.347,76.758,45.750,102.386,33.989,8.750,24.742,83.899,422.545,27.163,123.476,262.429,23.719,107.523,187.571,72.980,107.949,274.750,79.490,108.425,88.846,22.086,78.804,256.000,66.616,110.210,153.600,54.539,101.078,171.500,44.856,130.712,174.000,27.998,118.461,64.182,42.591,80.590,70.833,17.709,85.697,258.000,22.019,123.326,218.000,38.473,112.595,60.500,92.971,85.929,158.000,30.586,103.201,203.667,24.802,102.675,265.125,22.523,91.881,244.909,53.790,110.500,300.800,51.211,116.010,105.600,72.695,72.801,181.769,11.226,98.705,83.300,104.449,40.376,67.417,110.530,47.857,242.000,38.629,104.477,156.500,34.742,97.138,227.091,29.243,93.458,193.871,41.509,122.845,173.375,32.308,108.214,143.625,66.181,117.077,161.455,47.182,78.052,121.000,58.811,116.629,283.048,50.372,130.705,88.500,82.707,85.688,104.000,71.537,88.690,157.100,87.657,132.603,228.500,34.185,120.250,117.154,79.624,132.527,66.500,103.488,50.312,82.500,61.746,105.756,78.286,55.864,87.763
3,63.600,100.028,134.202,15.625,93.644,129.152,310.750,25.783,113.575,313.810,24.045,118.418,35.333,84.128,157.220,36.300,97.253,36.534,326.923,15.161,110.135,403.750,11.087,112.529,280.364,18.696,106.478,127.417,47.040,83.637,216.800,36.611,132.260,191.588,34.918,115.438,113.818,75.776,80.396,64.750,69.437,82.625,56.182,64.980,94.528,113.636,59.457,96.233,121.455,38.885,91.964,31.500,44.588,93.741,94.375,90.305,92.514,99.500,63.618,100.730,353.750,19.650,114.327,214.500,13.162,114.975,60.000,29.428,111.799,100.762,62.782,130.136,71.000,39.945,86.012,206.250,20.065,90.425,328.727,12.305,93.774,68.286,34.081,89.964,328.143,26.791,89.254,219.667,40.333,142.387,151.167,53.033,122.873,100.800,63.517,72.472,93.700,47.707,96.585,84.857,65.969,123.775,91.091,58.717,125.587,292.000,48.626,101.539,158.667,62.545,81.610,33.250,63.036,76.716,50.750,102.402,33.786,49.000,24.961,83.713,330.182,27.132,123.490,284.000,23.684,107.582,218.857,73.104,107.902,290.250,79.426,108.505,48.154,21.787,78.597,232.250,66.525,110.138,192.000,54.479,101.109,103.250,44.739,130.817,151.500,28.017,118.445,109.273,42.625,80.403,169.333,17.715,85.797,152.500,21.962,123.340,287.111,38.548,112.652,152.750,93.012,85.752,211.000,30.480,103.318,204.167,24.714,102.735,300.750,22.654,91.906,266.545,53.851,110.511,259.900,51.235,115.913,129.600,72.695,72.907,126.385,11.226,98.658,14.300,104.551,40.435,59.667,110.326,47.601,186.600,38.510,104.512,157.250,34.842,97.259,326.364,29.206,93.543,198.065,41.367,122.987,203.125,32.148,107.942,121.000,66.144,117.080,179.455,47.398,77.959,157.000,59.000,116.820,301.619,50.366,130.738,127.900,82.649,85.234,65.143,71.389,88.486,133.500,87.684,132.731,188.125,34.247,120.292,112.462,79.796,132.442,47.750,103.586,50.227,141.250,61.948,105.915,73.143,55.859,87.717
4,62.000,100.063,134.127,13.000,93.885,128.775,349.000,25.767,113.627,256.857,24.100,118.490,52.444,84.028,157.177,52.900,97.353,36.831,306.385,15.216,110.290,364.625,11.110,112.500,392.000,18.768,106.459,70.250,47.317,83.556,269.900,36.669,132.255,106.118,34.810,115.664,86.182,75.818,80.472,127.000,69.493,82.704,106.182,64.947,94.172,38.000,59.372,96.391,89.818,38.874,91.797,128.500,44.785,93.713,129.000,90.147,92.657,185.250,63.656,100.536,420.250,19.678,114.380,382.000,13.193,115.026,87.833,29.269,111.863,83.048,62.813,130.352,62.000,39.671,85.850,307.500,20.198,90.277,331.273,12.189,93.676,111.143,34.131,89.895,314.000,26.860,89.302,299.000,40.330,142.289,176.167,52.868,122.765,172.800,63.386,72.406,105.200,47.848,96.817,92.500,65.627,123.826,90.364,58.729,125.745,208.250,48.761,101.547,91.333,62.542,81.842,45.250,63.001,76.638,144.000,102.288,34.158,14.500,24.714,83.673,339.636,27.082,123.540,397.714,23.726,107.595,165.714,73.080,108.060,313.500,79.486,108.520,98.769,21.854,78.605,185.250,66.734,110.294,230.100,54.686,101.037,86.000,44.843,130.860,255.000,28.068,118.320,59.818,42.682,80.534,68.333,17.699,85.679,179.000,22.063,123.337,223.778,38.651,112.754,97.125,93.038,85.681,212.250,30.545,103.227,235.667,24.703,102.630,254.375,22.509,91.953,266.182,53.746,110.488,250.400,51.192,116.016,178.400,72.695,72.917,125.462,11.283,98.565,62.000,104.545,40.264,18.083,110.674,47.775,324.200,38.614,104.389,179.875,34.690,97.204,186.364,29.313,93.370,222.774,41.421,123.113,193.750,32.211,108.238,176.000,66.171,117.217,86.000,47.243,77.912,97.125,58.867,116.757,261.810,50.325,130.663,115.600,82.601,85.267,100.286,71.463,88.468,157.800,87.661,132.707,270.375,34.314,120.278,104.769,79.493,132.561,48.500,103.503,50.169,113.000,62.060,105.785,70.286,55.935,87.683
5,94.800,100.338,134.237,30.500,93.595,128.714,258.375,25.710,113.635,304.476,24.033,118.578,62.444,84.116,157.194,42.100,97.472,36.478,217.000,15.146,110.202,280.750,11.075,112.559,175.455,18.796,106.419,130.333,47.101,83.870,274.900,36.625,132.324,146.176,34.919,115.668,56.182,75.823,80.611,89.750,69.212,82.684,90.545,64.942,94.388,93.455,59.387,96.062,37.273,38.807,91.998,49.250,44.812,93.775,154.625,90.272,92.614,151.000,63.683,100.494,352.750,19.698,114.339,463.250,13.146,115.041,83.167,29.453,111.905,108.095,62.781,130.318,20.250,39.935,85.849,282.000,20.188,90.349,239.818,12.207,93.849,57.286,34.172,90.186,211.571,26.804,89.340,282.167,40.331,142.318,204.833,53.060,122.842,128.200,63.442,72.787,119.100,47.753,96.572,113.286,65.573,123.550,111.455,58.715,125.665,170.000,48.535,101.538,140.667,62.530,81.674,139.250,62.872,76.791,37.500,102.368,33.856,74.500,24.823,83.663,228.545,27.140,123.646,323.857,23.685,107.594,192.714,72.966,107.941,258.500,79.499,108.423,73.846,21.987,78.816,195.750,66.693,110.141,122.200,54.594,101.084,173.250,44.689,130.701,286.500,28.090,118.427,45.818,42.523,80.438,91.333,17.675,85.884,193.500,22.047,123.363,145.778,38.604,112.681,56.375,93.002,85.888,195.500,30.535,103.250,232.833,24.841,102.721,333.875,22.578,91.835,264.727,53.758,110.485,199.700,51.143,115.906,60.000,72.695,72.753,100.923,11.252,98.563,49.900,104.199,40.291,26.083,110.076,47.942,281.400,38.525,104.531,163.000,34.772,97.177,194.182,29.346,93.538,243.935,41.426,122.984,339.875,32.266,107.891,104.250,66.081,117.334,187.636,47.192,77.943,101.125,58.936,116.720,189.905,50.430,130.834,96.400,82.556,85.268,111.714,71.439,88.571,144.400,87.769,132.729,292.000,34.233,120.328,103.000,79.633,132.524,81.000,103.309,50.277,81.500,61.875,105.836,28.143,55.991,87.783
6,43.000,99.901,134.268,27.375,93.885,128.692,323.625,25.782,113.668,316.286,24.039,118.490,28.000,83.998,157.414,50.800,97.262,36.534,270.538,15.251,110.263,306.500,11.065,112.501,243.636,18.716,106.533,79.500,47.222,83.638,263.100,36.606,132.256,82.941,35.032,115.450,120.182,75.682,80.487,86.250,69.522,82.605,115.091,64.894,94.372,66.545,59.370,96.284,67.273,38.959,92.151,77.250,44.860,93.689,123.875,90.068,92.535,161.000,63.598,100.540,380.000,19.659,114.369,359.000,13.221,115.155,76.167,29.259,111.918,107.810,62.896,130.141,49.250,39.711,85.841,349.250,20.120,90.394,215.455,12.287,93.702,51.857,34.067,90.142,228.143,26.773,89.349,225.833,40.329,142.134,87.500,53.002,122.823,113.700,63.493,72.595,148.200,47.717,96.739,79.143,65.206,123.706,94.364,58.706,125.662,147.000,48.684,101.583,195.111,62.463,81.665,55.000,62.729,76.853,13.250,102.373,33.922,45.250,24.996,83.653,269.636,27.117,123.598,366.143,23.677,107.581,157.714,72.941,107.917,255.250,79.512,108.429,86.385,21.851,78.777,212.500,66.722,110.282,221.400,54.498,101.171,69.500,44.813,130.904,180.750,28.101,118.435,91.636,42.588,80.313,99.833,17.821,85.566,194.500,22.020,123.490,258.667,38.640,112.709,124.500,93.012,85.789,163.750,30.590,103.208,192.667,24.834,102.806,427.125,22.587,91.892,267.455,53.907,110.499,308.700,51.161,116.013,97.600,72.695,73.001,92.692,11.225,98.704,17.000,104.395,40.098,39.500,110.559,47.790,263.200,38.476,104.500,148.750,34.846,97.192,232.000,29.243,93.546,216.387,41.349,123.022,205.625,32.077,107.951,81.250,66.278,117.129,157.818,47.269,77.859,112.500,58.949,116.713,202.762,50.383,130.573,99.700,82.655,85.212,124.571,71.401,88.661,148.700,87.752,132.786,167.250,34.150,120.423,128.692,79.818,132.476,81.500,103.520,50.340,79.000,61.904,105.844,33.571,55.970,87.857
7,160.600,100.106,134.367,44.375,93.742,128.839,329.375,25.742,113.561,262.095,23.976,118.518,134.000,84.429,157.508,77.700,97.390,36.476,203.538,15.260,110.217,241.500,11.127,112.545,274.545,18.758,106.469,69.750,47.092,83.846,214.800,36.493,132.320,131.294,35.027,115.579,110.727,75.789,80.210,110.125,69.503,82.575,83.818,65.030,94.405,101.273,59.335,96.460,63.273,38.957,92.019,40.000,44.700,93.560,134.750,90.193,92.526,264.000,63.675,100.440,284.000,19.652,114.365,272.000,13.131,115.023,118.333,29.471,112.001,103.238,62.714,130.420,70.500,39.946,85.833,405.000,20.142,90.345,323.091,12.242,93.846,90.857,34.077,90.078,484.571,26.776,89.187,228.333,40.283,142.253,89.333,53.083,122.717,196.900,63.445,72.669,72.600,47.687,96.503,101.571,65.513,123.670,104.909,58.692,125.696,179.500,48.714,101.552,93.333,62.520,81.636,85.750,62.893,76.488,49.250,102.188,34.239,80.250,24.884,83.611,310.364,27.160,123.422,329.143,23.719,107.444,162.714,73.043,107.885,391.750,79.559,108.451,94.308,21.668,78.567,255.250,66.654,110.192,145.900,54.378,101.199,13.750,44.795,130.981,152.000,28.010,118.445,106.364,42.585,80.384,45.667,17.685,85.830,216.250,21.987,123.399,259.556,38.602,112.855,97.875,92.919,85.603,86.750,30.555,103.201,170.333,24.865,102.717,356.125,22.511,91.899,294.182,53.779,110.506,243.600,51.188,116.011,96.800,72.695,72.956,162.692,11.035,98.610,54.600,104.507,40.188,32.417,110.152,47.822,274.000,38.624,104.472,146.250,34.734,97.235,209.818,29.337,93.528,257.677,41.405,123.022,198.500,32.296,108.068,89.375,66.017,117.311,125.091,47.261,77.901,125.500,58.914,116.744,211.905,50.377,130.683,93.100,82.647,85.450,106.381,71.372,88.611,129.800,87.672,132.718,204.625,34.218,120.237,101.692,79.571,132.518,26.500,103.540,50.220,173.250,62.092,105.909,57.714,56.046,87.639
8,156.500,100.031,134.212,32.000,93.384,128.777,268.750,25.694,113.673,292.571,24.110,118.591,52.000,84.206,157.255,36.800,97.423,36.500,241.154,15.129,110.202,334.125,11.039,112.607,255.091,18.779,106.424,118.167,47.379,83.620,162.600,36.778,132.370,105.118,35.087,115.689,146.909,75.735,80.495,73.375,69.425,82.616,57.091,64.979,94.391,44.182,59.379,96.215,91.818,38.871,91.953,48.750,44.992,93.684,179.250,90.175,92.441,124.500,63.587,100.514,359.000,19.698,114.435,314.500,13.149,115.050,108.167,29.384,112.014,106.667,62.827,130.316,48.500,39.830,85.693,257.000,20.204,90.313,274.909,12.186,93.776,74.000,34.041,89.895,360.429,26.772,89.332,244.667,40.321,142.491,150.500,53.157,122.855,129.300,63.490,72.570,114.200,47.806,97.066,80.929,65.472,123.641,61.636,58.779,125.807,230.750,48.713,101.428,130.667,62.556,81.696,24.250,62.906,76.696,25.750,102.353,34.412,23.750,24.658,83.865,388.182,27.078,123.585,311.714,23.685,107.546,127.857,72.942,108.043,301.750,79.474,108.530,67.385,21.809,78.818,131.250,66.647,110.119,163.800,54.509,101.214,5.250,44.647,130.754,209.250,28.023,118.478,96.909,42.684,80.322,88.667,17.706,85.820,202.000,22.055,123.370,205.333,38.614,112.635,69.000,92.961,85.705,92.500,30.582,103.193,268.833,24.836,102.620,271.500,22.619,91.879,346.182,53.802,110.557,235.100,51.154,115.932,168.800,72.695,72.514,131.077,11.140,98.630,45.100,104.477,40.347,37.250,110.116,47.489,272.400,38.494,104.501,143.250,34.612,97.235,257.636,29.266,93.531,218.065,41.433,122.801,262.500,32.330,107.992,160.875,66.106,117.151,116.909,47.280,78.064,138.500,58.765,116.873,208.476,50.437,130.641,86.900,82.617,85.267,81.048,71.499,88.720,100.100,87.774,132.690,223.125,34.212,120.156,111.769,79.589,132.521,62.000,103.341,50.315,95.250,61.951,105.911,64.857,56.042,87.856
9,322.300,100.133,134.160,171.375,93.580,128.738,368.000,25.755,113.647,285.143,24.125,118.613,89.333,84.176,157.162,53.200,97.245,36.404,268.154,15.198,110.147,356.750,11.081,112.516,268.000,18.737,106.554,107.167,47.268,83.653,230.000,36.530,132.298,138.588,34.978,115.582,68.000,75.822,80.354,93.500,69.533,82.433,105.091,64.971,94.388,137.455,59.345,96.152,83.455,39.014,92.168,17.250,44.768,93.465,104.375,90.095,92.565,93.750,63.722,100.462,377.000,19.713,114.359,321.500,13.184,115.029,57.833,29.588,112.040,130.857,62.916,130.360,51.000,39.767,85.767,285.750,20.153,90.462,322.545,12.215,93.833,63.571,34.091,90.085,353.143,26.820,89.359,289.333,40.272,142.424,182.333,52.877,122.703,119.100,63.520,72.578,122.800,47.774,96.558,83.571,65.514,123.812,175.091,58.720,125.541,202.250,48.613,101.589,184.889,62.395,81.517,59.250,62.754,76.564,75.750,102.278,34.028,38.250,24.953,83.987,519.636,27.111,123.529,392.286,23.641,107.531,154.143,72.981,107.904,406.000,79.444,108.380,92.154,22.059,78.682,198.500,66.629,110.185,200.800,54.667,101.011,51.750,44.719,130.884,203.750,28.043,118.407,126.000,42.744,80.601,129.500,17.669,85.955,149.250,22.072,123.576,316.444,38.564,112.699,51.500,92.956,85.682,145.250,30.495,103.237,309.833,24.849,102.677,472.125,22.570,91.855,240.182,53.836,110.466,340.500,51.075,115.962,94.800,72.695,73.089,123.385,11.153,98.880,53.800,104.618,40.381,33.167,110.538,47.957,188.600,38.541,104.429,199.625,34.792,97.244,217.455,29.287,93.452,215.419,41.281,123.039,205.750,32.235,108.016,114.125,66.389,117.260,167.818,47.221,77.919,134.625,58.838,116.776,191.619,50.475,130.681,89.700,82.746,85.510,84.571,71.363,88.363,144.800,87.682,132.676,170.375,34.360,120.319,106.077,79.584,132.716,42.250,103.369,50.459,81.250,62.255,105.829,39.571,55.891,88.038
10,131.000,100.006,134.213,157.625,93.675,128.795,241.875,25.622,113.657,318.762,23.938,118.593,33.556,84.212,157.475,28.200,97.419,36.635,251.692,15.129,110.207,417.375,11.090,112.564,200.545,18.639,106.463,107.833,47.245,83.761,317.300,36.623,132.261,109.647,34.831,115.637,76.182,75.785,80.333,123.750,69.350,82.477,60.182,64.878,94.492,72.909,59.235,96.254,92.727,38.824,91.862,54.250,44.748,93.795,137.000,90.234,92.585,127.250,63.738,100.456,393.500,19.649,114.514,308.250,13.197,115.053,71.000,29.395,112.047,71.905,62.868,130.259,40.000,39.852,85.864,324.750,20.100,90.311,294.727,12.255,93.725,137.857,34.028,89.917,340.714,26.848,89.317,371.167,40.300,142.470,143.500,52.984,122.793,113.800,63.500,72.396,86.500,47.747,96.693,73.643,65.757,123.698,67.636,58.838,125.861,165.750,48.776,101.488,192.222,62.528,81.731,78.500,62.957,76.814,66.000,102.336,34.223,136.750,24.802,83.746,286.545,27.097,123.630,202.286,23.772,107.658,216.000,73.024,107.930,303.750,79.508,108.470,61.615,21.962,78.719,147.500,66.544,110.179,217.600,54.466,101.026,42.250,44.755,130.803,158.250,28.085,118.356,68.545,42.718,80.698,224.667,17.628,85.744,168.250,21.961,123.425,197.778,38.668,112.603,65.250,93.140,85.554,166.500,30.559,103.283,231.833,24.818,102.702,278.875,22.561,91.924,260.182,53.686,110.513,267.000,51.196,116.056,48.800,72.695,72.990,122.000,11.190,98.516,37.400,104.433,40.354,60.583,110.260,47.750,210.000,38.597,104.514,196.500,34.617,97.222,230.909,29.320,93.440,227.097,41.439,122.985,210.500,32.271,108.157,135.625,66.212,117.099,179.636,47.372,78.020,100.750,58.879,116.677,280.190,50.345,130.648,59.200,82.567,84.913,61.619,71.325,88.431,163.200,87.702,132.701,274.250,34.377,120.305,133.308,79.748,132.576,52.250,103.612,50.274,47.500,61.935,105.875,68.286,55.939,87.709
11,200.500,100.027,134.266,167.250,93.603,128.900,296.875,25.622,113.759,344.000,23.992,118.520,100.889,83.978,157.346,33.200,97.076,36.691,307.462,15.190,110.179,304.750,10.977,112.575,242.545,18.783,106.544,126.250,47.109,83.677,224.800,36.655,132.230,135.235,34.898,115.611,75.818,75.804,80.368,86.375,69.441,82.502,98.000,64.962,94.266,54.545,59.259,96.294,105.455,38.943,92.022,138.000,44.842,93.615,148.750,90.219,92.553,83.250,63.586,100.429,303.250,19.732,114.420,365.250,13.168,115.086,89.167,29.504,111.945,68.381,62.930,130.085,57.250,39.807,85.898,470.500,20.205,90.388,238.727,12.186,93.759,101.286,34.105,90.062,176.286,26.768,89.393,234.833,40.312,142.113,152.167,53.065,122.779,110.700,63.512,72.368,105.900,47.746,96.682,103.714,65.426,123.625,140.909,58.655,125.619,149.750,48.602,101.523,134.444,62.402,81.715,48.000,62.938,76.588,89.500,102.437,33.934,8.500,24.955,83.855,379.818,27.144,123.472,250.286,23.699,107.645,244.571,72.914,107.824,203.000,79.492,108.345,68.846,21.953,78.662,170.500,66.607,110.297,161.100,54.527,100.954,84.750,44.802,130.835,204.500,28.068,118.347,70.727,42.711,80.538,131.333,17.769,85.924,211.250,22.064,123.302,223.333,38.609,112.654,66.875,93.039,85.787,115.000,30.608,103.302,188.333,24.714,102.709,322.625,22.581,91.950,354.545,53.783,110.476,224.400,51.163,116.015,42.800,72.695,72.597,149.923,11.195,98.624,59.500,104.478,40.596,58.000,110.689,47.728,231.200,38.594,104.420,206.750,34.667,97.110,276.182,29.262,93.385,197.097,41.459,122.880,168.750,32.261,108.136,149.250,65.941,117.202,112.727,47.332,77.908,170.875,58.806,116.740,241.333,50.357,130.712,110.100,82.738,85.513,75.714,71.457,88.537,147.300,87.705,132.564,217.500,34.101,120.252,106.692,79.743,132.592,106.500,103.623,50.376,74.500,62.083,106.008,67.286,55.987,87.364
12,170.100,100.147,134.205,189.375,93.688,128.723,254.875,25.704,113.762,366.667,23.964,118.572,62.444,84.104,157.413,43.300,97.521,36.287,326.846,15.184,110.177,317.500,11.068,112.487,191.273,18.779,106.478,57.667,47.299,83.616,244.200,36.408,132.261,121.824,34.938,115.610,86.364,75.740,80.326,87.000,69.322,82.555,54.364,64.821,94.477,48.182,59.350,96.252,58.364,39.073,91.693,82.500,44.604,93.538,165.750,90.185,92.521,104.000,63.797,100.379,291.750,19.656,114.429,282.000,13.175,115.050,163.667,29.380,111.856,88.667,62.780,130.326,93.500,39.978,85.699,327.750,20.209,90.353,240.909,12.217,93.762,77.571,34.055,90.124,277.857,26.823,89.381,256.167,40.329,142.114,129.833,52.976,122.596,144.200,63.516,72.450,66.600,47.774,96.358,58.000,65.681,123.638,131.636,58.608,125.601,192.000,48.668,101.585,146.667,62.530,81.675,40.750,62.750,76.721,80.250,102.336,33.961,76.500,24.881,83.824,412.182,27.125,123.551,317.286,23.702,107.620,179.143,72.959,107.814,237.750,79.532,108.477,119.923,21.942,78.614,229.250,66.529,110.236,195.100,54.546,101.102,81.000,44.879,130.995,217.500,28.078,118.332,97.455,42.714,80.628,116.333,17.700,85.883,186.500,21.998,123.283,269.778,38.513,112.770,131.375,92.865,85.781,210.250,30.513,103.184,212.000,24.766,102.615,363.375,22.571,91.802,227.636,53.757,110.485,241.800,51.121,116.001,202.000,72.695,72.901,104.000,11.145,98.716,63.900,104.851,40.248,40.750,111.004,47.753,252.000,38.684,104.430,141.000,34.885,97.079,267.818,29.289,93.537,189.742,41.421,122.995,246.000,32.281,108.079,102.250,66.204,117.175,105.636,47.328,77.994,107.375,58.769,116.546,242.762,50.401,130.670,106.000,82.612,85.334,65.905,71.434,88.578,118.800,87.618,132.674,231.625,34.263,120.275,83.923,79.656,132.528,9.000,103.308,50.289,85.750,61.972,106.031,29.571,55.965,88.250
13,245.400,99.984,134.124,201.250,93.614,128.853,166.375,25.699,113.666,316.571,23.972,118.545,76.222,84.073,157.308,36.600,97.378,36.724,271.769,15.197,110.155,327.750,11.021,112.544,172.364,18.685,106.426,101.000,47.211,83.784,230.900,36.615,132.332,122.059,34.848,115.635,120.364,75.762,80.663,116.375,69.489,82.553,106.000,64.987,94.450,81.636,59.339,96.296,36.182,39.034,91.906,57.250,44.882,93.579,151.625,90.275,92.583,130.500,63.774,100.283,335.500,19.646,114.427,325.750,13.217,114.986,161.667,29.467,111.864,79.333,62.554,130.260,41.250,39.690,85.651,276.000,20.220,90.281,387.273,12.269,93.713,68.000,33.990,89.604,230.714,26.838,89.276,171.167,40.281,142.392,109.167,52.991,122.706,122.600,63.567,72.557,75.200,47.895,96.485,80.571,65.536,123.691,126.000,58.677,125.642,160.750,48.524,101.545,157.556,62.515,81.731,59.750,62.922,76.709,111.000,102.352,33.913,60.250,24.824,83.725,295.636,27.146,123.542,422.143,23.640,107.702,230.714,72.956,107.982,393.000,79.499,108.490,45.615,21.949,78.720,150.000,66.717,110.175,143.600,54.502,101.084,96.750,44.750,130.658,223.000,27.989,118.470,71.091,42.516,80.508,149.667,17.637,85.767,201.250,22.027,123.508,181.333,38.571,112.635,60.750,93.034,85.723,112.750,30.642,103.283,175.667,24.901,102.694,354.500,22.604,91.951,237.273,53.800,110.523,176.900,51.047,116.001,82.800,72.695,73.092,129.923,11.196,98.702,40.700,104.480,40.398,25.750,110.707,47.790,306.600,38.742,104.510,234.125,34.771,97.275,354.727,29.288,93.515,248.645,41.419,122.974,161.500,32.255,108.038,109.625,66.028,117.165,120.182,47.189,77.885,70.750,58.673,116.843,286.000,50.365,130.710,75.100,82.542,85.582,99.524,71.354,88.564,123.900,87.734,132.853,246.250,34.075,120.297,96.308,79.628,132.621,50.500,103.483,50.433,127.500,61.920,105.858,68.857,55.786,87.463
